date, pm25, pm10, o3, no2, so2
2025/11/1, 22, 7, 27, 3, 
2025/11/2, 21, 8, 26, 2, 
2025/11/3, 19, 8, 28, 3, 
2025/11/4, 20, 12, 24, 6, 
2025/11/5, 31, 17, 13, 9, 1
2025/11/6, 44, 14, 21, 7, 
2025/11/7, 42, 15, 19, 6, 
2025/11/8, 45, 16, 17, 4, 
2025/11/9, 49, 6, 22, 5, 
2025/11/10, 17, 7, 23, 4, 
2025/11/11, 18, 9, 25, 6, 1
2025/11/12, 23, 13, 24, 10, 1
2025/11/13, 35, 14, 22, 7, 
2025/11/14, 44, , , , 
2025/10/1, 29, 15, 30, 4, 
2025/10/2, 48, 9, 28, 1, 
2025/10/3, 28, 9, 27, 1, 
2025/10/4, 19, 11, 25, 2, 
2025/10/5, 25, 10, 23, 3, 
2025/10/6, 21, 8, 24, 3, 
2025/10/7, 17, 10, 21, 8, 
2025/10/8, 25, 11, 24, 6, 
2025/10/9, 28, 11, 20, 12, 
2025/10/10, 28, 16, 24, 10, 
2025/10/11, 52, 23, 11, 13, 
2025/10/12, 70, 18, 12, 10, 
2025/10/13, 60, 13, 14, 7, 
2025/10/14, 42, 13, 20, 6, 
2025/10/15, 46, 11, 22, 12, 
2025/10/16, 31, 21, 13, 17, 
2025/10/17, 53, 15, 19, 7, 
2025/10/18, 46, 11, 21, 5, 
2025/10/19, 36, 10, 21, 8, 
2025/10/20, 29, 8, 21, 3, 1
2025/10/21, 25, 7, 23, 8, 1
2025/10/22, 17, 7, 21, 5, 
2025/10/23, 18, 6, 22, 4, 
2025/10/24, 15, 6, 26, 4, 
2025/10/25, 13, 5, 26, 2, 
2025/10/26, 10, 10, 26, 3, 
2025/10/27, 23, 10, 27, 3, 
2025/10/28, 22, 9, 25, 5, 
2025/10/29, 21, 8, 22, 6, 
2025/10/30, 17, 9, 27, 3, 
2025/10/31, 22, 9, 28, 3, 1
2025/7/1, 36, 12, 19, 4, 
2025/7/2, 31, 8, 23, 10, 
2025/7/3, 13, 11, 26, 8, 
2025/7/4, 20, 7, 21, 4, 
2025/7/5, 16, 5, 16, 5, 
2025/7/6, 16, 8, 27, 6, 
2025/7/7, 20, 13, 30, 7, 
2025/7/8, 26, 9, 29, 7, 
2025/7/9, 18, 10, 43, 7, 
2025/7/10, 24, 14, 66, 9, 
2025/7/11, 30, 11, 34, 4, 
2025/7/12, 20, 11, 36, 4, 
2025/7/13, 31, 13, 28, 3, 
2025/7/14, 32, 9, 20, 2, 
2025/7/15, 18, 7, 29, 4, 
2025/7/16, 17, , 18, 7, 
2025/7/21, 12, 6, 21, 5, 
2025/7/22, 14, 15, 21, 4, 
2025/7/23, 45, 24, 23, 5, 
2025/7/24, 68, 25, 30, 5, 
2025/7/25, 69, 9, 23, 3, 
2025/7/26, 26, 10, 22, 4, 
2025/7/27, 28, 10, 24, 4, 
2025/7/28, 27, 7, 19, 5, 
2025/7/29, 18, 7, 24, 4, 
2025/7/30, 17, 9, 27, 3, 
2025/7/31, 23, 10, 19, 4, 
2025/8/1, 23, 9, 27, 3, 
2025/8/2, 19, 7, 23, 2, 
2025/8/3, 21, 7, 25, 2, 
2025/8/4, 16, 12, 22, 2, 
2025/8/5, 20, 13, 28, 3, 
2025/8/6, 28, 13, 26, 2, 
2025/8/7, 34, 11, 25, 2, 
2025/8/8, 34, 12, 27, 3, 
2025/8/9, 30, 16, 16, 3, 
2025/8/10, 50, 20, , , 
2025/8/11, 56, 27, , , 
2025/8/12, 62, 27, , , 
2025/8/13, 57, 17, 18, 1, 
2025/8/14, 43, 11, 34, 2, 
2025/8/15, 29, 14, 26, 2, 
2025/8/16, 39, 11, 28, 2, 
2025/8/17, 27, 12, 23, 1, 
2025/8/18, 25, 9, 25, 2, 
2025/8/19, 17, 12, 25, 2, 
2025/8/20, 24, 12, 27, 4, 
2025/8/21, 27, 14, 29, 6, 
2025/8/22, 26, 12, 26, 6, 
2025/8/23, 33, 14, 34, 4, 
2025/8/24, 36, 11, 38, 2, 
2025/8/25, 22, 10, 36, 1, 
2025/8/26, 23, 11, 25, 1, 
2025/8/27, 24, 8, 20, 2, 
2025/8/28, 17, 8, 20, 2, 
2025/8/29, 19, 6, 18, 1, 
2025/8/30, 14, 13, 25, , 
2025/8/31, 27, 9, 24, 1, 
2025/9/1, 20, 8, 17, 2, 
2025/9/2, 18, 4, 26, 3, 
2025/9/3, 11, 7, 22, 6, 
2025/9/4, 16, 6, 23, 5, 
2025/9/5, 15, 8, 29, 8, 
2025/9/6, 18, 9, 25, 7, 
2025/9/7, 20, 7, 25, 3, 
2025/9/8, 14, 7, 24, 4, 
2025/9/9, 15, 6, 22, 3, 
2025/9/10, 14, 8, 21, 1, 
2025/9/11, 16, 6, 22, 1, 
2025/9/12, 13, 6, 24, 1, 
2025/9/13, 14, 9, 23, 3, 
2025/9/14, 19, 9, 28, 1, 
2025/9/15, 22, , 23, 2, 
2025/9/18, 9, 7, 25, 4, 
2025/9/19, 19, 9, 24, 4, 
2025/9/20, 25, 5, 24, 3, 
2025/9/21, 14, 8, 23, 9, 
2025/9/22, 19, 11, 23, 11, 
2025/9/23, 29, 11, 23, 8, 
2025/9/24, 33, 10, 25, 10, 
2025/9/25, 22, 15, 16, 14, 
2025/9/26, 27, 16, 17, 9, 
2025/9/27, 47, 12, 23, 7, 
2025/9/28, 41, 14, 20, 13, 
2025/9/29, 42, 12, 23, 8, 
