date, pm25, pm10, o3, no2
2025/11/1, 21, 8, 25, 4
2025/11/2, 20, 8, 28, 2
2025/11/3, 19, 8, 28, 3
2025/11/4, 18, 12, 22, 5
2025/11/5, 30, 15, 11, 8
2025/11/6, 45, 12, 18, 5
2025/11/7, 38, 18, 16, 6
2025/11/8, 50, 18, 18, 5
2025/11/9, 56, 7, 18, 6
2025/11/10, 18, 7, 22, 4
2025/11/11, 17, 9, 22, 6
2025/11/12, 24, 13, 20, 10
2025/11/13, 36, 11, 23, 2
2025/11/14, 32, , , 
2025/10/1, 32, 14, 29, 6
2025/10/2, 45, 9, 26, 2
2025/10/3, 26, 9, 26, 
2025/10/4, 18, 11, 24, 1
2025/10/5, 24, 10, 21, 3
2025/10/6, 21, 9, 22, 4
2025/10/7, 19, 9, 19, 7
2025/10/8, 23, 11, 23, 6
2025/10/9, 28, 11, 19, 11
2025/10/10, 28, 15, 20, 9
2025/10/11, 46, 20, 13, 8
2025/10/12, 65, 16, 14, 5
2025/10/13, 55, 12, 16, 5
2025/10/14, 41, 12, 23, 3
2025/10/15, 42, 9, 22, 9
2025/10/16, 26, 17, 20, 12
2025/10/17, 46, 12, 21, 5
2025/10/18, 39, 11, 22, 4
2025/10/19, 35, 9, 21, 7
2025/10/20, 24, 8, 19, 4
2025/10/21, 22, 7, 18, 9
2025/10/22, 17, 6, 23, 4
2025/10/23, 16, 7, 22, 3
2025/10/24, 14, 5, 26, 3
2025/10/25, 10, 5, 24, 2
2025/10/26, 10, 10, 26, 2
2025/10/27, 22, 10, 26, 2
2025/10/28, 22, 9, 24, 6
2025/10/29, 20, 8, 23, 5
2025/10/30, 17, 8, 26, 4
2025/10/31, 20, 9, 28, 3
2025/7/1, 32, 13, 30, 2
2025/7/2, 28, 7, 29, 3
2025/7/3, 11, 9, 29, 1
2025/7/4, 17, 7, 23, 
2025/7/5, 15, 5, 19, 
2025/7/6, 14, 8, 30, 1
2025/7/7, 20, 13, 35, 2
2025/7/8, 24, 8, 32, 4
2025/7/9, 15, 8, 49, 5
2025/7/10, 17, 12, 68, 7
2025/7/11, 23, 10, 33, 2
2025/7/12, 18, 10, 37, 1
2025/7/13, 27, 12, 29, 2
2025/7/14, 30, 10, 19, 1
2025/7/15, 18, 10, 31, 3
2025/7/16, 20, 9, 18, 5
2025/7/17, 21, 7, 24, 3
2025/7/18, 15, 8, 23, 5
2025/7/19, 21, 7, 24, 2
2025/7/20, 17, 8, 26, 5
2025/7/21, 13, 8, 20, 5
2025/7/22, 15, 15, 20, 4
2025/7/23, 43, 20, 22, 3
2025/7/24, 60, 24, 33, 5
2025/7/25, 66, 9, 24, 2
2025/7/26, 27, 8, 15, 4
2025/7/27, 22, 9, 27, 4
2025/7/28, 25, 7, 19, 4
2025/7/29, 18, 7, 25, 3
2025/7/30, 18, 9, 29, 2
2025/7/31, 22, 8, 19, 2
2025/8/1, 16, 7, 29, 3
2025/8/2, 14, 7, 22, 2
2025/8/3, 20, 7, 26, 2
2025/8/4, 15, 10, 22, 1
2025/8/5, 18, 12, 30, 2
2025/8/6, 26, 13, 27, 1
2025/8/7, 33, 11, 27, 2
2025/8/8, 34, 11, 28, 2
2025/8/9, 29, 16, 31, 4
2025/8/10, 50, 24, 41, 9
2025/8/11, 58, 23, 63, 6
2025/8/12, 53, 21, 34, 13
2025/8/13, 51, 12, 17, 2
2025/8/14, 31, 11, 33, 2
2025/8/15, 29, 12, 25, 
2025/8/16, 34, 10, 27, 
2025/8/17, 23, 10, 24, 
2025/8/18, 25, 8, 26, 1
2025/8/19, 16, 10, 25, 1
2025/8/20, 20, 11, 28, 4
2025/8/21, 21, 10, 30, 5
2025/8/22, 19, 11, 25, 8
2025/8/23, 29, 11, 32, 4
2025/8/24, 33, 9, 40, 4
2025/8/25, 19, 11, 34, 3
2025/8/26, 20, 11, 27, 3
2025/8/27, 21, 9, 21, 3
2025/8/28, 16, 7, 20, 3
2025/8/29, 16, 6, 17, 2
2025/8/30, 13, 11, 25, 1
2025/8/31, 24, 9, 22, 2
2025/9/1, 20, 8, 19, 4
2025/9/2, 16, 6, 21, 3
2025/9/3, 13, 6, 21, 6
2025/9/4, 11, 7, 21, 6
2025/9/5, 13, 8, 31, 5
2025/9/6, 18, 8, 25, 4
2025/9/7, 17, 7, 23, 4
2025/9/8, 13, 7, 25, 5
2025/9/9, 15, 7, 22, 3
2025/9/10, 14, 8, 18, 2
2025/9/11, 16, 6, 22, 2
2025/9/12, 13, 7, 25, 3
2025/9/13, 14, 9, 21, 3
2025/9/14, 19, 10, 25, 
2025/9/15, 22, 7, 23, 2
2025/9/16, 14, 5, 18, 2
2025/9/17, 11, 3, 16, 1
2025/9/18, 9, 8, 27, 4
2025/9/19, 19, 9, 23, 4
2025/9/20, 25, 5, 23, 3
2025/9/21, 13, 8, 24, 6
2025/9/22, 16, 10, 25, 6
2025/9/23, 21, 10, 24, 4
2025/9/24, 28, 10, 28, 3
2025/9/25, 17, 13, 19, 8
2025/9/26, 22, 16, 19, 6
2025/9/27, 50, 11, 23, 6
2025/9/28, 37, 10, 20, 9
2025/9/29, 29, 12, 22, 10
2025/9/30, 32, 11, 22, 11
2025/4/1, 28, 14, 32, 3
2025/4/2, 36, 23, 34, 4
2025/4/3, 62, 28, 36, 4
2025/4/4, 69, 16, 35, 1
2025/4/5, 41, 10, 33, 1
2025/4/6, 24, 12, 34, 4
2025/4/7, 27, 15, 35, 8
2025/4/8, 36, 16, 31, 5
2025/4/9, 42, 24, 30, 7
2025/4/10, 60, 29, 38, 12
2025/4/11, 58, 25, 40, 9
2025/4/12, 55, 10, 33, 4
2025/4/13, 27, 7, 31, 4
2025/4/14, 16, 10, 30, 4
2025/4/15, 30, 9, 32, 1
2025/4/16, 13, 8, 32, 5
2025/4/17, 15, 10, 32, 6
2025/4/18, 26, 14, 30, 3
2025/4/19, 45, 8, 33, 1
2025/4/20, 22, 9, 22, 4
2025/4/21, 30, 7, 31, 3
2025/4/22, 17, 4, 26, 1
2025/4/23, 13, 14, 30, 2
2025/4/24, 45, 12, 34, 5
2025/4/25, 38, 19, 30, 5
2025/4/26, 59, 12, 31, 4
2025/4/27, 34, 8, 35, 8
2025/4/28, 18, 17, 51, 7
2025/4/29, 48, 19, 55, 11
2025/4/30, 48, 19, 61, 9
2025/5/1, 50, 19, 36, 3
2025/5/2, 50, 13, 30, 3
2025/5/3, 33, 7, 30, 1
2025/5/4, 15, 9, 27, 
2025/5/5, 18, 10, 32, 3
2025/5/6, 24, 15, 31, 5
2025/5/7, 42, 10, 33, 2
2025/5/8, 25, 10, 41, 2
2025/5/9, 25, 12, 45, 4
2025/5/10, 26, 12, 47, 3
2025/5/11, 28, 13, 43, 5
2025/5/12, 37, 14, 43, 2
2025/5/13, 31, 17, 37, 1
2025/5/14, 45, 18, 32, 1
2025/5/15, 42, 18, 41, 1
2025/5/16, 41, 13, 36, 3
2025/5/17, 35, 17, 35, 1
2025/5/18, 49, 15, 36, 1
2025/5/19, 38, 15, 37, 2
2025/5/20, 34, 15, 38, 3
2025/5/21, 39, 16, 28, 4
2025/5/22, 34, 11, 38, 5
2025/5/23, 25, , , 
2025/5/25, 13, 8, 30, 
2025/5/26, 17, 6, 22, 1
2025/5/27, 13, 6, 27, 2
2025/5/28, 12, 6, 18, 1
2025/5/29, 13, 5, 19, 2
2025/5/30, 11, 5, 27, 2
2025/5/31, 12, 8, 29, 1
2025/6/1, 20, 9, 31, 2
2025/6/2, 18, 9, 29, 2
2025/6/3, 19, 10, 32, 2
2025/6/4, 22, 7, 27, 3
2025/6/5, 14, 6, 26, 2
2025/6/6, 11, 6, 24, 2
2025/6/7, 14, 8, 25, 1
2025/6/8, 23, 26, 36, 2
2025/6/9, 74, 13, 39, 3
2025/6/10, 43, 12, 39, 4
2025/6/11, 38, 15, 38, 5
2025/6/12, 43, 12, 36, 3
2025/6/13, 31, 11, 35, 3
2025/6/14, 31, 7, 28, 1
2025/6/15, 18, 7, 30, 2
2025/6/16, 18, 12, 37, 2
2025/6/17, 37, 12, 38, 3
2025/6/18, 33, 13, 51, 4
2025/6/19, 32, 18, 61, 3
2025/6/20, 45, 16, 46, 3
2025/6/21, 39, 13, 36, 
2025/6/22, 33, 7, 28, 
2025/6/23, 14, 8, 23, 
2025/6/24, 18, 5, 22, 1
2025/6/25, 8, 7, 31, 1
2025/6/26, 14, 10, 29, 1
2025/6/27, 19, 6, 24, 
2025/6/28, 13, 5, 21, 1
2025/6/29, 14, 9, 34, 4
2025/6/30, 21, 14, 34, 3
2025/1/1, 14, 9, 20, 13
2025/1/2, 25, 12, 20, 13
2025/1/3, 39, 11, 18, 12
2025/1/4, 41, 10, 29, 9
2025/1/5, 35, 4, 25, 4
2025/1/6, 15, 6, 19, 7
2025/1/7, 14, 13, 18, 18
2025/1/8, 37, 18, 15, 20
2025/1/9, 55, 20, 9, 21
2025/1/10, 60, 32, 1, 21
2025/1/11, 89, 23, 4, 16
2025/1/12, 73, 9, 19, 8
2025/1/13, 33, 10, 15, 9
2025/1/14, 34, 10, 15, 8
2025/1/15, 36, 8, 9, 9
2025/1/16, 33, 16, 18, 7
2025/1/17, 53, 19, 18, 4
2025/1/18, 64, 16, 10, 8
2025/1/19, 58, 19, 7, 10
2025/1/20, 62, 18, 13, 11
2025/1/21, 60, 25, 7, 18
2025/1/22, 74, 12, 26, 8
2025/1/23, 35, 18, 31, 5
2025/1/24, 39, 13, 24, 10
2025/1/25, 27, 7, 29, 3
2025/1/26, 17, 8, 30, 4
2025/1/27, 19, 6, 27, 6
2025/1/28, 16, 7, 21, 8
2025/1/29, 17, 10, 23, 11
2025/1/30, 23, 10, 19, 10
2025/1/31, 31, 11, 25, 8
2025/2/1, 40, 11, 23, 8
2025/2/2, 36, 11, 12, 10
2025/2/3, 40, 8, 26, 5
2025/2/4, 17, 14, 22, 12
2025/2/5, 33, 16, 20, 14
2025/2/6, 52, 12, 23, 3
2025/2/7, 37, 23, 20, 5
2025/2/8, 70, 31, 20, 4
2025/2/9, 88, 28, 24, 3
2025/2/10, 80, 25, 20, 6
2025/2/11, 74, 25, 15, 7
2025/2/12, 73, 25, 26, 5
2025/2/13, 68, 20, 26, 6
2025/2/14, 58, 30, 16, 8
2025/2/15, 87, 27, 20, 6
2025/2/16, 80, 19, 19, 8
2025/2/17, 62, 24, 19, 9
2025/2/18, 71, 33, 13, 11
2025/2/19, 87, 16, 23, 5
2025/2/20, 50, 5, 26, 4
2025/2/21, 16, 12, 25, 7
2025/2/22, 31, 10, 31, 3
2025/2/23, 26, 8, 30, 5
2025/2/24, 17, 11, 28, 6
2025/2/25, 23, 8, 25, 6
2025/2/26, 18, 7, 27, 6
2025/2/27, 19, 17, 21, 12
2025/2/28, 47, 21, 29, 14
2025/3/1, 59, 22, 31, 15
2025/3/2, 59, 23, 27, 16
2025/3/3, 58, 19, 30, 11
2025/3/4, 50, 25, 30, 11
2025/3/5, 66, 37, 25, 11
2025/3/6, 84, 23, 21, 6
2025/3/7, 55, 22, 29, 8
